StockName,StockCode,CurrentPrice,Price_Change_Value,Price_Change_Status,Volume,VolumeChangeRate,Action,Candle_Pattern,MACD_Trend,RSI_Status,Volume_Trend,Price_vs_Bollinger,Slope_5,Slope_20,Slope_60,Slope_120,Recent_Max_Volume_Date,Recent_Max_Volume_Change,Recent_Max_Volume_Trend,Recent_Max_Volume_Value,Support_1,Support_2,Support_3,Resistance_1,Resistance_2,Resistance_3
하이브,352820,202500,0.0,하락,54972,-58.21875641288734,"관망(볼린저 중간선, 신호 부족)",도지,상승,중립,감소,중간,상승,하락,상승,상승,2024-12-13,4.26179604261796,상승,227419,202000.00 (2023-02-14),197000.00 (2024-06-07),196500.00 (2024-02-06),204000.00 (2023-10-26),213000.00 (2022-05-12),217500.00 (2024-11-20)
키움증권,39490,125100,4.0765391014975005,상승,91807,36.295075639483954,"관망(볼린저 중간선, 신호 부족)",양봉,상승,중립,증가,중간,상승,하락,하락,상승,2024-12-18,4.0765391014975005,상승,91807,123000.00 (2020-12-28),121500.00 (2021-09-13),121500.00 (2021-05-24),126500.00 (2021-06-03),128200.00 (2024-05-09),128500.00 (2021-03-18)
현대글로비스,86280,118700,3.30722367275893,상승,80315,-38.12880363608351,"관망(볼린저 중간선, 신호 부족)",장대양봉,하락,중립,감소,중간,상승,하락,상승,상승,2024-12-16,-3.959561920808763,하락,182710,116100.00 (2024-08-28),113795.00 (2021-01-25),113400.00 (2024-10-11),124500.00 (2024-10-25),127600.00 (2024-07-15),
종근당,185750,91700,-1.0787486515641875,하락,18378,-53.67863894139886,"관망(볼린저 중간선, 신호 부족)",음봉,상승,중립,감소,중간,상승,하락,하락,하락,2024-12-17,2.4309392265193353,상승,39675,90208.00 (2022-04-29),90022.00 (2020-06-30),87131.00 (2023-10-26),91712.00 (2023-09-14),92631.00 (2021-11-30),94600.00 (2024-06-21)
JYP Ent.,35900,70600,2.0231213872832443,상승,318291,-63.37289586699255,"관망(볼린저 중간선, 신호 부족)",양봉,하락,중립,감소,중간,하락,상승,상승,상승,2024-12-17,-5.205479452054796,하락,869004,70000.00 (2024-05-07),68300.00 (2023-03-22),68200.00 (2022-12-27),72500.00 (2024-03-27),74500.00 (2024-02-13),75900.00 (2023-04-12)
롯데케미칼,11170,64200,1.7432646592709933,상승,44903,-52.641459684649064,"관망(볼린저 중간선, 신호 부족)",양봉,상승,중립,감소,중간,상승,하락,하락,하락,2024-12-12,3.5031847133758065,상승,212497,,,,76900.00 (2024-09-10),79800.00 (2024-08-09),85400.00 (2024-08-27)
삼성전자,5930,54800,1.1070110701107083,상승,8780754,-56.56367006459981,"관망(볼린저 중간선, 신호 부족)",양봉,상승,중립,감소,중간,상승,하락,하락,하락,2024-12-12,3.518518518518521,상승,33476698,54000.00 (2020-08-31),52600.00 (2022-09-29),51400.00 (2020-04-17),55000.00 (2020-07-06),55300.00 (2022-12-29),55900.00 (2024-10-25)
데브시스터즈,194480,31500,-1.253918495297801,하락,69710,-82.24270259392569,"관망(볼린저 중간선, 신호 부족)",음봉,상승,중립,감소,중간,하락,상승,하락,하락,2024-12-17,3.9087947882736174,상승,392571,29300.00 (2024-11-14),16000.00 (2020-12-15),14650.00 (2021-01-18),33950.00 (2024-10-24),34400.00 (2023-07-26),34500.00 (2024-01-18)
대한항공,3490,24450,1.2422360248447228,상승,431951,-54.620274641517284,"관망(볼린저 중간선, 신호 부족)",양봉,하락,중립,감소,중간,상승,하락,상승,상승,2024-12-17,-1.8292682926829285,하락,951859,24400.00 (2023-06-19),24300.00 (2022-11-22),23650.00 (2024-02-13),24500.00 (2024-11-05),24650.00 (2022-06-23),24800.00 (2023-01-27)
애경산업,18250,13840,0.21723388848660097,상승,10466,-51.08431482520097,"관망(볼린저 중간선, 신호 부족)",아랫꼬리 긴 캔들,상승,중립,감소,중간,상승,하락,하락,하락,2024-12-13,-0.14492753623188692,하락,31751,13740.00 (2024-11-14),13700.00 (2022-07-04),10750.00 (2022-10-13),13900.00 (2022-09-22),15000.00 (2022-08-03),15250.00 (2024-03-07)
삼성중공업,10140,11390,2.890695573622404,상승,3598932,32.31771410671722,"관망(볼린저 중간선, 신호 부족)",양봉,하락,중립,감소,중간,상승,하락,상승,상승,2024-12-13,2.2522522522522515,상승,4939835,10970.00 (2024-09-24),10250.00 (2024-10-17),10170.00 (2024-05-13),11870.00 (2024-07-26),,
BNK금융지주,138930,10620,-1.1173184357541888,하락,669002,-72.80216541275131,"관망(볼린저 중간선, 신호 부족)",음봉,하락,중립,감소,중간,하락,상승,상승,상승,2024-12-17,-2.981029810298108,하락,2459762,10290.00 (2024-08-27),9910.00 (2024-10-25),9300.00 (2024-11-18),,,
다우데이타,32190,10550,1.1505273250239645,상승,25182,-43.228802669251756,"관망(볼린저 중간선, 신호 부족)",아랫꼬리 긴 캔들,상승,중립,감소,중간,상승,하락,하락,하락,2024-12-13,3.112840466926059,상승,79545,10270.00 (2024-08-05),9840.00 (2022-07-12),8360.00 (2020-02-14),10800.00 (2020-10-30),11310.00 (2023-10-23),11390.00 (2024-08-20)
쌍용C&E,3410,7000,0.0,하락,0,,"관망(볼린저 중간선, 신호 부족)",장대양봉,하락,과매도,감소,중간,유지,유지,유지,상승,2024-07-02,0.0,하락,0,6850.00 (2024-03-05),6650.00 (2020-09-23),6530.00 (2021-01-15),7010.00 (2024-05-31),7040.00 (2021-02-16),7050.00 (2022-08-16)
제노레이,122310,5600,0.0,하락,5111,-76.13132209405501,"관망(볼린저 중간선, 신호 부족)",장대양봉,상승,중립,감소,중간,상승,하락,하락,하락,2024-12-17,-0.7092198581560294,하락,21413,5050.00 (2020-03-19),,,5720.00 (2024-08-05),6050.00 (2024-04-16),6070.00 (2024-11-05)
팬오션,28670,3435,-0.14534883720930258,하락,393205,-54.858504104242,"관망(볼린저 중간선, 신호 부족)",음봉,상승,중립,감소,중간,하락,하락,하락,하락,2024-12-12,-0.5772005772005762,하락,1438550,3410.00 (2024-08-05),3370.00 (2020-06-15),3275.00 (2020-09-22),3485.00 (2020-04-27),3500.00 (2020-09-16),3510.00 (2024-01-16)
삼성바이오로직스,207940,980000,0.6160164271047153,상승,24320,-59.80098844609002,관망(거래량 감소),아랫꼬리 긴 캔들,상승,중립,감소,중간,상승,상승,하락,상승,2024-12-13,2.9227557411273475,상승,76812,974000.00 (2024-08-08),946788.00 (2021-12-16),936905.00 (2021-05-14),1000156.00 (2021-08-17),1091000.00 (2024-10-21),
LG에너지솔루션,373220,383000,0.13071895424836555,상승,121548,-69.02880585035227,관망(거래량 감소),아랫꼬리 긴 캔들,하락,중립,감소,중간,상승,하락,하락,상승,2024-12-12,7.0105820105820005,상승,586555,382000.00 (2022-07-22),381500.00 (2024-10-22),377500.00 (2023-11-01),387000.00 (2024-03-06),388000.00 (2022-05-12),393000.00 (2024-05-08)
삼성화재,810,363500,0.832177531206657,상승,49422,-67.34739721321115,관망(거래량 감소),도지,하락,중립,감소,중간,하락,하락,하락,상승,2024-12-16,-1.7663043478260865,하락,89140,343000.00 (2024-03-21),330500.00 (2024-06-13),291000.00 (2024-02-28),365500.00 (2024-10-23),374000.00 (2024-05-21),377000.00 (2024-09-03)
